Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:10,Data class,Data type,Answers
8de1679d-ec68-48a4-983b-d74597836df5,,Ambulance,,,,,,Misc,N/A,
8c25e7a2-b33f-4e8b-82aa-9d6bbe92041d,,Pivate Vehicle,,,,,,Misc,N/A,
922de8bd-66cc-488b-88fc-3654d47ee6fd,,Law enforcement Agents,,,,,,Misc,N/A,
b39dca80-f723-4ed0-8171-d5a9caf0d8fb,,Frsc,,,,,,Misc,N/A,
4c875c99-89e0-4d07-a3d7-1d89eb729501,,Walked In,,,,,,Misc,N/A,
d43e9dd2-8b09-41aa-86ed-134b0dcd3387,,Police,,,,,,Misc,N/A,
1c0f8c4a-2ca5-4c52-8d6e-df2d4db476fd,,"Others, Pre Hospital Transportation Info",Others,,,,,Misc,N/A,
52af70fd-a22a-40f8-8da3-d8fa8c723e4b,,Pre Hospital Transportation Info,,,,,,Question,Coded,"Ambulance;
Pivate Vehicle;
Law enforcement Agents;
Frsc;
Walked In;
Police;
Others;"
2023f3cf-2818-4548-a23b-2cf8757c38ef,,"Other, Pre Hospital Transportation Info",Other Info,,,,,Question,Text,
0abc7bc4-ce01-4945-b142-8bd74ea9eff2,,PR,,,,,,Misc,N/A,
260ea134-9fb7-4be9-915e-cc61621a673a,,BP,,,,,,Misc,N/A,
02b10424-2f38-4f2a-a25e-44e9838c1e5b,,"SPO2, Procedure Checklist",,,,,,Misc,N/A,
19fcb424-d144-478a-b6ea-eb3465f89bc9,,Airway,,,,,,Misc,N/A,
106579c9-faa5-48c9-b7e2-a2e210e00eb4,,IVLine,,,,,,Misc,N/A,
dcb2ac7e-65bf-4158-98bb-b97f59ee0720,,Procedure Checklist,Procedures,,,,,Question,Coded,"PR;
BP;
SPO2;
Airway;
IVLine;"
bc5d352a-fb35-4ba6-b6f6-fc4dffbe1624,,"500ml ",,,,,,Misc,N/A,
f2139f3f-15b6-4d1e-b1a7-a3abfe54ad5c,,"500-1000ml ",,,,,,Misc,N/A,
cafd602b-bafe-44de-9995-ee847b35c5ef,,> 1000ml,,,,,,Misc,N/A,
ee113165-ca63-475d-bc2b-99b599abe8bd,,"Cystalloid ",,,,,,Question,Coded,"500ml ;
500-1000ml ;
> 1000ml;"
498174e6-f2b1-459c-9a78-08a2b5f046ad,,"Blood Assessment ? ",,,,,,Question,Boolean,
e1b1cb76-757c-40fd-941f-614954ed9b75,,Blood Assessment Pints,Pints,,,,,Question,Numeric,
9d65f54b-3f10-11e4-adec-0800271c1b75,,ml,,,,,,Misc,N/A,
b42f6a7e-2c91-461a-9db6-d3349f0f8602,,Blood Assessment Units,Units,,,,,Question,Coded,ml
82756c30-a3a3-4d3f-84ae-970995a612b5,,C SPINE Protection,,,,,,Question,Boolean,
788c1fdb-10b0-4453-adad-cb7f8ffeb19b,,FULL SPINE Protection,,,,,,Question,Boolean,
6c3d15ca-ce8e-4bbd-9e60-346fec27f792,,Splints,,,,,,Misc,Text,
13ce12d2-4f6a-4aa4-92bd-f5b78563e32d,,Medications,,,,,,Misc,Text,
